fy,employer_years,matched_employer_years,matched_pct,petition_weighted_pct
2017,22529.0,16323.0,72.45328243597142,86.06031585414333
2018,27984.0,18799.0,67.17767295597484,83.30317911605066
2019,33224.0,22366.0,67.31880568263907,86.03024911032028
2020,27482.0,19748.0,71.8579433811222,87.78919033789049
2021,25849.0,19039.0,73.65468683508067,87.77211104377609
2022,28525.0,22910.0,80.31551270815075,90.28499148488125
