sample,r2_wls_mean,r2_wls_std,r2_gbm_mean,r2_gbm_std,auc_logit_mean,auc_logit_std,auc_gbm_mean,auc_gbm_std,r2_frac_mean,r2_frac_std,n_seeds
All employer-years,0.30307294239583726,0.023138298420196643,0.41397989180717143,0.022329553828116855,0.7895265691610598,0.0022117966085604037,0.798352022490489,0.001856128074791904,0.3563339689255163,0.024479593287101573,10
"Matched, baseline",0.33463480131382217,0.030363793417679055,0.4582936579174185,0.027968286150925614,0.8280883152919731,0.002497907021444828,0.8369348786459231,0.002129974137011004,0.4025989259568302,0.03287703248944442,10
"Matched, with wages",0.36241847575235936,0.027979391073752753,0.5119943143496136,0.024917455416226152,0.8449292133177565,0.0027160432704674067,0.8551940565529206,0.0019558349562392298,0.4624813477159232,0.03195464903542162,10
