model,test_year,rows,weighted_r2,spearman,spearman_petition_weighted,auc_any_denial,auc_any_denial_weighted,actual_rate_lowest_pred_decile,actual_rate_highest_pred_decile,pred_mean,actual_mean,bias2_share_of_mse
LightGBM,2022,28525,-1.2398130324742027,-0.04428381766990599,-0.19455568818053903,0.44287705509980707,0.3393434159905547,0.01325271266462351,0.0412392936449191,0.11611807740858572,0.02213224226749484,0.5192015108012237
WLS,2022,28525,-1.7203141102431183,-0.019166092943257163,-0.1074028193378955,0.4729830683472315,0.3978934302121405,0.011948590936474976,0.04452232606438214,0.015711880478976117,0.02213224226749484,0.0019949079156709733
