test_year,train_years,validation,train_rows,test_rows,lgbm_trees,actual_mean,wls_pred_mean,gbm_pred_mean,wls_r2,gbm_r2
2018,2017-2017,2017 (20% sponsor holdout),22529,27984,81,0.24279314206944086,0.14203755312951769,0.14785397254653673,0.08751399403714266,0.16581510111750697
2019,2017-2018,2018,50513,33224,130,0.21134638196915778,0.2796711375143661,0.27803993708526553,0.2430376071703887,0.26783341297521845
2020,2017-2019,2019,83737,27482,32,0.12946093362612454,0.1791474926168497,0.2190881168936936,0.13503017428773845,0.12858217383212023
2021,2017-2020,2020,111219,25849,27,0.03858750791564812,0.08019958998792709,0.1556742385919654,-1.3105216945162645,-1.26058699121694
2022,2017-2021,2021,137068,28525,16,0.02213224226749484,0.015711880478976117,0.11611807740858572,-1.7203141102431183,-1.2398130324742027
