,mean,sd,min,max
LGBM - WLS R2 (all),0.11090694941133424,0.007220392873798356,0.0985620500515847,0.12300243193964933
LGBM - logit AUC (all),0.00882545332942919,0.0008454072126281268,0.007800073238295235,0.010263978101582194
"wages - baseline, WLS R2",0.02778367443853722,0.005069362250013792,0.020724426895342152,0.035455728844233314
"wages - baseline, LGBM R2",0.05370065643219507,0.009109802067024357,0.03933603397444463,0.06952608759592327
"wages - baseline, logit AUC",0.016840898025783223,0.0008789353022803964,0.015103499102713358,0.01792992361574197
"wages - baseline, LGBM AUC",0.018259177906997527,0.000825688850249921,0.016956936823846802,0.020050706778462657
frac logit - WLS R2 (all),0.053261026529679054,0.005064984182447157,0.04511325057478177,0.06109540233287669
"frac logit - WLS R2 (matched, wages)",0.10006287196356375,0.010621441205872165,0.08073375864134669,0.11549099242301397
